city_id,city_name,dt,temp,humidity,pressure,weather_main,anomaly_name
3448439,São Paulo,1715714948,22.34,51,1018,Clouds,normal
3448439,São Paulo,1715801348,15.84,58,1015,Drizzle,normal
3448439,São Paulo,1715887748,18.89,77,1018,Clouds,normal
3448439,São Paulo,1715974148,24.8,72,1011,Clouds,normal
3448439,São Paulo,1716060548,18.58,89,1014,Drizzle,normal
3448439,São Paulo,1716146948,25.08,63,1013,Clear,normal
3448439,São Paulo,1716233348,22.8,78,1008,Clouds,pressure_drop
3448439,São Paulo,1716319748,18.6,95,1011,Thunderstorm,storm_event
3448439,São Paulo,1716406148,19.01,74,1019,Clear,normal
3448439,São Paulo,1716492548,18.93,54,1017,Clouds,normal
3448439,São Paulo,1716578948,23.05,56,1016,Clear,normal
3448439,São Paulo,1716665348,21.71,95,1012,Thunderstorm,storm_event
3448439,São Paulo,1716751748,21.64,69,1017,Clouds,normal
3448439,São Paulo,1716838148,13.53,55,1016,Clear,cold_snap
3448439,São Paulo,1716924548,18.21,91,1008,Rain,pressure_drop
3448439,São Paulo,1717010948,16.42,61,1015,Clouds,normal
3448439,São Paulo,1717097348,23.55,76,1013,Clouds,normal
3448439,São Paulo,1717183748,23.99,63,1010,Clear,normal
3448439,São Paulo,1717270148,14.97,70,1015,Clouds,normal
3448439,São Paulo,1717356548,16.28,64,1017,Clouds,normal
3448439,São Paulo,1717442948,18.64,52,1014,Clear,normal
3448439,São Paulo,1717529348,14.23,69,1013,Clouds,normal
3448439,São Paulo,1717615748,18.7,69,1017,Clouds,normal
3448439,São Paulo,1717702148,16.29,61,1009,Clear,normal
3448439,São Paulo,1717788548,13.89,47,1016,Clouds,normal
3448439,São Paulo,1717874948,16.41,92,1013,Drizzle,normal
3448439,São Paulo,1717961348,16.87,48,1014,Clouds,normal
3448439,São Paulo,1718047748,12.81,69,1016,Clear,normal
3448439,São Paulo,1718134148,13.56,63,1013,Clouds,normal
3448439,São Paulo,1718220548,17.48,86,1014,Clear,normal
3448439,São Paulo,1718306948,17.9,65,1020,Clouds,normal
3448439,São Paulo,1718393348,14.43,89,1010,Thunderstorm,storm_event
3448439,São Paulo,1718479748,14.95,56,1010,Clouds,normal
3448439,São Paulo,1718566148,16.83,55,1011,Rain,normal
3448439,São Paulo,1718652548,22.42,92,1016,Clouds,normal
3448439,São Paulo,1718738948,12.42,66,1012,Clouds,normal
3448439,São Paulo,1718825348,15.79,70,1019,Rain,normal
3448439,São Paulo,1718911748,14.66,40,1013,Clear,normal
3448439,São Paulo,1718998148,18.17,89,1015,Clear,normal
3448439,São Paulo,1719084548,16.09,44,1012,Clouds,normal
3448439,São Paulo,1719170948,22.42,49,1018,Clouds,normal
3448439,São Paulo,1719257348,19.91,68,1014,Clear,normal
3448439,São Paulo,1719343748,15.68,69,1013,Clouds,normal
3448439,São Paulo,1719430148,23.66,39,1020,Clouds,drought
